seqid,uniprot
SeqId_12697_30,P48426
SeqId_12698_72,O00629
SeqId_12699_28,P50990
SeqId_12700_9,P53396
SeqId_12701_1,O60739
SeqId_12702_13,Q9HAT8
SeqId_12703_6,Q8TDX7
SeqId_12704_26,Q8N5H7
SeqId_12705_9,Q15751
SeqId_12706_2,Q5VT25
SeqId_12707_26,Q14195
SeqId_12708_91,Q969R5
SeqId_12709_63,Q92522
SeqId_12711_19,P48165
SeqId_12712_9,Q9NP66
SeqId_12713_365,P49795
SeqId_12714_38,O75843
SeqId_12715_30,Q8IZD4
SeqId_12716_3,Q9Y473
SeqId_12717_65,O15405
SeqId_12718_43,Q9Y237
SeqId_12720_71,Q9NRR5
SeqId_12721_4,Q86VP1
SeqId_12724_81,Q14011
SeqId_12726_3,O00287
SeqId_12727_7,Q9P2B2
SeqId_12729_12,Q9BT73
SeqId_12730_3,O14777
SeqId_12731_12,Q6IQ23
SeqId_12732_13,Q5T2T1
SeqId_12734_112,Q14807
SeqId_12735_39,O75534
SeqId_12737_12,Q14651
SeqId_12738_43,Q9Y2I1
SeqId_12740_55,Q99581
SeqId_12742_160,A6NDV4
SeqId_12743_18,Q9UL15
SeqId_12746_4,Q9UIA0
SeqId_12747_89,P98179
SeqId_12748_6,Q58F21
SeqId_12750_9,P05107
SeqId_12751_26,Q9UKY1
SeqId_12753_6,Q92870
SeqId_12754_14,Q9Y534
SeqId_12756_3,Q9BYV9
SeqId_12758_47,O43424
SeqId_12759_47,Q12906
SeqId_12760_34,Q6NX45
SeqId_12761_12,Q92870
SeqId_12763_69,Q9HCZ1
SeqId_12764_3,Q92556
SeqId_12766_33,Q7Z601
SeqId_12768_3,Q86XI6
SeqId_12771_19,Q9UJW8
SeqId_12772_8,P52948
SeqId_12774_12,O60741
SeqId_12775_6,O15347
SeqId_12777_11,Q15637
SeqId_12779_30,Q9UKN5
SeqId_12781_2,Q15633
SeqId_12783_29,P52272
SeqId_12784_10,O95704
SeqId_12785_49,Q86T24
SeqId_12786_61,Q9NPB8
SeqId_12787_47,P52741
SeqId_12788_6,Q96ES7
SeqId_12790_10,Q96ER9
SeqId_12793_4,Q96J94
SeqId_12794_6,Q96MN2
SeqId_12795_2,Q969W8
SeqId_12796_44,O95989
SeqId_12798_46,Q2Y0W8
SeqId_12799_65,Q9NZQ0
SeqId_12800_5,P59282
SeqId_12801_33,P14316
SeqId_12803_9,Q86UD4
SeqId_12804_5,Q9UKD1
SeqId_12807_89,Q7Z6I6
SeqId_12808_103,Q9Y2V2
SeqId_12811_55,Q09FC8
SeqId_12812_25,P14621
SeqId_12813_18,Q8NDI1
SeqId_12814_17,Q96LT9
SeqId_12815_9,P41252
SeqId_12817_1,P55040
SeqId_12818_159,Q15849
SeqId_12820_1,Q13588
SeqId_12821_6,Q86W26
SeqId_12822_34,O00213
SeqId_12825_18,Q9UKG1
SeqId_12826_5,Q92911
SeqId_12827_37,P49796
SeqId_12830_4,O00422
SeqId_12831_21,Q96BS2
SeqId_12832_10,Q9UBL3
SeqId_12834_3,Q9H3M0
SeqId_12835_101,Q8WXC3
SeqId_12838_28,Q9H1R2
SeqId_12842_43,O60499
SeqId_12843_6,Q86VK4
SeqId_12844_10,O95429
SeqId_12845_18,Q15036
SeqId_12846_3,Q9UKA1
SeqId_12847_27,O60942
SeqId_12848_9,Q92974
SeqId_12849_25,Q9P0R6
SeqId_12851_5,Q9NP87
SeqId_12853_112,Q9NZR1
SeqId_12854_3,Q99594
SeqId_12855_16,Q9NQ75
SeqId_12856_14,Q96Q45
SeqId_12859_33,O75521
SeqId_12860_7,Q9UBL0
SeqId_12861_13,Q9NYL9
SeqId_12862_14,Q14511
SeqId_12864_9,Q0D2K0
SeqId_12867_40,P51808
SeqId_12869_68,P26196
SeqId_12871_10,Q12792
SeqId_12872_35,Q16280
SeqId_12873_11,P16150
SeqId_12875_28,Q8WUN7
SeqId_12876_39,Q9Y4P9
SeqId_12878_60,Q9BXB4
SeqId_12879_5,P28749
SeqId_12880_1,Q7L0J3
SeqId_12881_17,O75452
SeqId_12882_7,Q9NR21
SeqId_12885_42,Q14995
SeqId_12888_18,O75446
SeqId_12891_1,Q8IY33
SeqId_12892_10,Q8IYJ3
SeqId_12893_159,Q16666
SeqId_12894_3,Q6ZW49
SeqId_12895_28,Q9Y6T7
SeqId_12898_5,Q99LC4
SeqId_12900_29,Q99LC4
SeqId_12904_180,O60494
SeqId_12906_137,Q99LC4
SeqId_12912_25,Q99LC4
SeqId_12915_26,Q99LC4
SeqId_12921_51,Q99LC4
SeqId_12923_51,Q04695
SeqId_12925_105,Q9Y2T1
SeqId_12931_16,P08235
SeqId_12933_17,Q8TC92
SeqId_12934_1,Q9UII4
SeqId_12936_38,P12271
SeqId_12939_1,O15160
SeqId_12940_35,P43353
SeqId_12941_24,Q99LC4
SeqId_12945_33,Q9NP72
SeqId_12954_71,Q07869
SeqId_12956_40,Q96EK5
SeqId_12957_62,P14927
SeqId_12958_8,Q99LC4
SeqId_12960_9,P35557
SeqId_12963_1,Q5VW38
SeqId_12968_2,Q16527
SeqId_12970_35,Q9NUL3
SeqId_12975_11,P35900
SeqId_12976_49,O60504
SeqId_12980_31,Q9NW64
SeqId_12986_12,Q9NUP9
SeqId_12987_12,Q16629
SeqId_12988_49,Q01844
SeqId_12990_39,Q99759
SeqId_12991_49,Q8IWT3
SeqId_12993_21,Q8TAT6
SeqId_13007_66,Q6JVE6
SeqId_13011_20,P46783
SeqId_13013_41,O60260
SeqId_13021_12,Q99LC4
SeqId_13022_20,O14683
SeqId_13023_8,Q99LC4
SeqId_13025_4,Q8WU20
SeqId_13027_20,O95931
SeqId_13028_2,Q99LC4
SeqId_13032_1,Q14457
SeqId_13039_1,Q12972
SeqId_13041_47,Q9BUZ4
SeqId_13042_7,Q16322
SeqId_13043_157,Q6PL18
SeqId_13044_5,Q99816
SeqId_13053_6,Q9UN76
SeqId_13055_53,A5PKW4
SeqId_13056_18,Q9GZN6
SeqId_13059_33,Q969G6
SeqId_13062_4,O60234
SeqId_13066_42,Q6P2E9
SeqId_13067_5,Q13976
SeqId_13068_139,O14618
SeqId_13073_14,P39687
SeqId_13076_4,P51114
SeqId_13078_3,P41208
SeqId_13082_9,Q9H3U1
SeqId_13083_18,P26640
SeqId_13085_18,P43220
SeqId_13088_397,P35070
SeqId_13089_6,Q16665
SeqId_13090_17,P06703
SeqId_13093_6,Q8WVN6
SeqId_13094_75,Q9BXY4
SeqId_13095_51,P05451
SeqId_13097_11,Q92843
SeqId_13098_93,O43915
SeqId_13101_60,Q9BQB4
SeqId_13102_1,Q96BQ1
SeqId_13103_125,P0DML3
SeqId_13104_32,P98172
SeqId_13105_7,P60880
SeqId_13107_9,O95274
SeqId_13109_82,Q7Z3B1
SeqId_13111_79,P41182
SeqId_13112_179,Q12841
SeqId_13113_7,P10451
SeqId_13114_50,P51884
SeqId_13116_25,Q8N6Q3
SeqId_13118_5,Q9H4F8
SeqId_13119_26,Q9UK55
SeqId_13122_19,O43155
SeqId_13123_3,Q9NZU0
SeqId_13124_20,Q6UXK2
SeqId_13125_45,P04004
SeqId_13126_52,Q02487
SeqId_13129_40,P01130
SeqId_13130_150,P52789
SeqId_13131_5,P19367
SeqId_13132_14,Q13591
SeqId_13133_73,Q8N2S1
SeqId_13228_75,Q00987
SeqId_13229_20,O15151
SeqId_13230_174,P01859
SeqId_13231_90,P01861
SeqId_13236_25,P56704
SeqId_13240_170,Q9Y566
SeqId_13242_134,Q9BYB0
SeqId_13268_45,P41221
SeqId_13374_4,Q30KQ7
SeqId_13375_48,O43761
SeqId_13377_3,Q8N8Q1
SeqId_13378_80,A6NC05
SeqId_13381_49,P15291
SeqId_13384_110,P07954
SeqId_13386_248,Q969K3
SeqId_13387_55,Q9NZC4
SeqId_13388_57,P29120
SeqId_13389_8,Q99LC4
SeqId_13392_13,P05026
SeqId_13393_46,Q9BUN8
SeqId_13397_88,O15263
SeqId_13399_33,Q8IUW5
SeqId_13403_5,P41161
SeqId_13405_61,P20155
SeqId_13409_9,Q99LC4
SeqId_13411_21,Q9H4P4
SeqId_13412_5,Q9BQY6
SeqId_13416_8,Q14C87
SeqId_13421_17,Q9NRX6
SeqId_13422_66,Q16206
SeqId_13423_94,Q9BRX8
SeqId_13424_51,Q99LC4
SeqId_13427_66,Q9NR34
SeqId_13429_3,Q9H1F0
SeqId_13430_50,Q13336
SeqId_13431_74,Q6UWV7
SeqId_13434_172,Q9NVD7
SeqId_13435_31,Q6UXL0
SeqId_13436_54,P56270
SeqId_13438_115,Q9H2X0
SeqId_13439_6,P0C7M6
SeqId_13441_30,Q155Q3
SeqId_13447_42,Q5BIV9
SeqId_13449_25,Q15427
SeqId_13450_49,P40818
SeqId_13451_2,Q9H6D8
SeqId_13452_113,P0DJ93
SeqId_13453_2,O75394
SeqId_13455_10,Q99LC4
SeqId_13457_33,Q9UKW6
SeqId_13459_30,Q9NXH8
SeqId_13460_4,O15335
SeqId_13463_1,Q92626
SeqId_13464_8,Q8N912
SeqId_13465_5,P53805
SeqId_13468_5,Q96JN8
SeqId_13470_43,Q03431
SeqId_13472_35,Q9H0R4
SeqId_13473_55,P23677
SeqId_13474_40,Q9Y2Q3
SeqId_13475_10,Q9Y2X8
SeqId_13476_16,O60870
SeqId_13477_65,Q15722
SeqId_13479_8,A8MVW0
SeqId_13481_24,Q15560
SeqId_13482_14,A5YKK6
SeqId_13484_69,P02452
SeqId_13485_20,Q96K49
SeqId_13486_9,Q13563
SeqId_13487_24,Q9H1C4
SeqId_13488_3,P53367
SeqId_13490_1,Q9NZW5
SeqId_13491_40,O43924
SeqId_13492_44,P38646
SeqId_13493_5,Q9ULK0
SeqId_13494_6,Q8N5B7
SeqId_13495_48,Q8TDS4
SeqId_13496_19,Q01581
SeqId_13497_34,O75822
SeqId_13498_1,Q9UGB7
SeqId_13499_30,P00451
SeqId_13500_9,Q99LC4
SeqId_13501_10,Q8TBE7
SeqId_13502_2,Q86WA9
SeqId_13503_19,O75915
SeqId_13506_10,Q9NX74
SeqId_13507_51,Q15628
SeqId_13509_5,Q8TAC9
SeqId_13510_7,Q93084
SeqId_13511_29,Q01826
SeqId_13512_28,O43390
SeqId_13513_174,Q9Y6X2
SeqId_13514_121,Q15286
SeqId_13515_8,Q96P16
SeqId_13516_46,Q5J8M3
SeqId_13517_3,Q3KNS1
SeqId_13518_5,O43150
SeqId_13519_112,Q86VW2
SeqId_13522_20,P62760
SeqId_13524_25,Q96MM7
SeqId_13525_17,Q8TDN1
SeqId_13526_5,P05455
SeqId_13529_39,Q9ULW6
SeqId_13530_5,Q9UKP6
SeqId_13532_25,Q8N9A8
SeqId_13534_20,P54296
SeqId_13535_2,Q9Y5P4
SeqId_13536_56,Q9UNA4
SeqId_13539_131,Q92952
SeqId_13540_1,Q8NDV2
SeqId_13541_1,Q8N699
SeqId_13544_9,Q92619
SeqId_13545_97,Q8N9N8
SeqId_13547_5,P34969
SeqId_13548_53,Q5VZY2
SeqId_13549_15,Q9UKF5
SeqId_13552_7,Q9UH65
SeqId_13553_4,Q8IWE4
SeqId_13554_78,Q9BWE0
SeqId_13556_28,P28223
SeqId_13557_3,Q9NQS3
SeqId_13561_5,P50406
SeqId_13563_259,Q8N6N7
SeqId_13565_2,Q08999
SeqId_13566_2,Q9NP77
SeqId_13567_1,Q16555
SeqId_13568_30,P55036
SeqId_13570_43,Q00341
SeqId_13572_43,O00231
SeqId_13573_5,O15145
SeqId_13574_50,Q92730
SeqId_13575_40,O14641
SeqId_13577_25,P26368
SeqId_13578_98,O94929
SeqId_13580_2,Q16222
SeqId_13583_19,O14727
SeqId_13587_10,Q9H0H5
SeqId_13588_11,O76027
SeqId_13589_10,O95704
SeqId_13590_1,Q9Y3B8
SeqId_13591_31,P49642
SeqId_13594_158,Q9UJY5
SeqId_13595_20,Q9BU02
SeqId_13596_3,O00194
SeqId_13597_20,Q13636
SeqId_13599_15,Q7Z6M1
SeqId_13602_6,P55769
SeqId_13603_7,Q8TAC1
SeqId_13604_27,O76050
SeqId_13605_16,Q9UJ72
SeqId_13609_11,P78347
SeqId_13610_9,P43363
SeqId_13612_7,O60759
SeqId_13613_23,Q9Y6K8
SeqId_13614_6,Q92793
SeqId_13615_60,O43639
SeqId_13618_15,Q9Y6D9
SeqId_13620_10,O43681
SeqId_13621_31,O94973
SeqId_13622_16,Q15172
SeqId_13623_4,O14686
SeqId_13624_17,O95544
SeqId_13625_19,P05455
SeqId_13628_58,Q14449
SeqId_13629_25,Q9Y4P1
SeqId_13631_1,Q15291
SeqId_13632_10,Q15942
SeqId_13634_209,O00625
SeqId_13636_20,P55209
SeqId_13639_101,O60763
SeqId_13642_90,O14879
SeqId_13644_30,O14964
SeqId_13645_14,Q92620
SeqId_13650_11,Q9NZI2
SeqId_13651_54,Q96JP5
SeqId_13652_2,O75674
SeqId_13653_335,Q9BQ69
SeqId_13654_1,O75116
SeqId_13655_34,P19338
SeqId_13657_2,Q96T60
SeqId_13658_31,Q9NRA1
SeqId_13659_36,Q9HD20
SeqId_13665_35,Q06190
SeqId_13666_222,Q9NS85
SeqId_13669_6,P22607
SeqId_13671_40,P08246
SeqId_13672_3,P17066
SeqId_13673_21,Q99832
SeqId_13676_46,P09529
SeqId_13680_3,Q15742
SeqId_13681_173,P19784
SeqId_13682_47,P07333
SeqId_13683_18,P51801
SeqId_13686_2,Q01344
SeqId_13688_2,Q8WWF8
SeqId_13689_2,P11926
SeqId_13691_10,Q8N695
SeqId_13692_154,O95388
SeqId_13694_24,Q9HC73
SeqId_13697_51,P21695
SeqId_13698_28,Q8IZA0
SeqId_13700_10,P07355
SeqId_13704_5,P54868
SeqId_13711_10,Q00610
SeqId_13713_164,Q96IW7
SeqId_13717_15,Q15485
SeqId_13719_19,O96013
SeqId_13720_95,P24158
SeqId_13724_27,O95750
SeqId_13726_4,P33681
SeqId_13727_44,O43791
SeqId_13728_19,P30040
SeqId_13729_26,Q8TD22
SeqId_13733_5,P29460
SeqId_13735_1,P47736
SeqId_13738_8,P08476
SeqId_13740_51,Q92765
SeqId_13743_56,Q13620
SeqId_13744_37,P26951
SeqId_13745_10,Q13563
SeqId_13748_4,P80075
SeqId_13926_1,Q9H9A7
SeqId_13929_27,Q9UKG9
SeqId_13930_3,Q9HC16
SeqId_13931_22,O00233
SeqId_13932_45,Q14155
SeqId_13933_276,Q13506
SeqId_13934_3,O15068
SeqId_13936_24,P07205
SeqId_13937_75,Q86VP6
SeqId_13939_14,Q16851
SeqId_13940_19,Q16666
SeqId_13941_82,O95363
SeqId_13942_140,Q96BD6
SeqId_13943_38,Q9C005
SeqId_13944_3,P0DMM9
SeqId_13946_8,Q9BUQ8
SeqId_13947_371,Q9BQG2
SeqId_13948_50,O75899
SeqId_13950_9,Q9Y5P4
SeqId_13954_9,Q96EK6
SeqId_13955_33,P53355
SeqId_13958_5,Q8TBY0
SeqId_13959_7,P28838
SeqId_13960_15,Q96P47
SeqId_13961_18,Q9Y496
SeqId_13963_7,Q9H0E2
SeqId_13966_30,Q5VTT5
SeqId_13967_14,Q16881
SeqId_13969_24,O60684
SeqId_13972_4,Q9BPX1
SeqId_13973_62,Q8NG68
SeqId_13975_56,Q13136
SeqId_13976_9,Q92888
SeqId_13977_28,Q99728
SeqId_13978_122,O15119
SeqId_13979_3,Q8TE54
SeqId_13982_33,Q9NS28
SeqId_13983_27,Q08257
SeqId_13984_23,Q9UHL0
SeqId_13985_12,Q9HAU4
SeqId_13986_6,O43813
SeqId_13988_67,Q9HBL8
SeqId_13990_1,P11498
SeqId_13991_47,O43432
SeqId_13992_12,P46459
SeqId_13993_20,Q9H4G0
SeqId_13994_1,P22087
SeqId_13996_16,Q96CD2
SeqId_13998_26,Q8N142
SeqId_14002_18,Q9BZ29
SeqId_14005_2,Q9P2D1
SeqId_14006_36,Q14749
SeqId_14007_22,O43252
SeqId_14008_22,Q9NPI6
SeqId_14009_65,P21580
SeqId_14011_17,P31949
SeqId_14012_17,Q96C10
SeqId_14013_11,Q92844
SeqId_14019_73,Q92817
SeqId_14021_81,Q9NPJ6
SeqId_14024_196,Q92838
SeqId_14025_18,Q07011
SeqId_14026_24,Q96PD4
SeqId_14028_22,O00443
SeqId_14029_42,P61201
SeqId_14034_22,P09758
SeqId_14035_13,Q13009
SeqId_14036_116,O75970
SeqId_14037_18,Q9H6Z4
SeqId_14039_33,Q9Y337
SeqId_14043_12,Q15075
SeqId_14045_12,Q15596
SeqId_14047_78,P23560
SeqId_14048_7,Q9NPH3
SeqId_14051_54,Q99958
SeqId_14052_26,Q9UPW8
SeqId_14054_17,Q13261
SeqId_14056_4,P01215
SeqId_14060_67,Q15080
SeqId_14061_48,O14788
SeqId_14063_17,P13725
SeqId_14065_11,P06127
SeqId_14066_49,Q86UL8
SeqId_14067_6,Q99959
SeqId_14069_61,P22748
SeqId_14070_56,Q15811
SeqId_14074_2,P98077
SeqId_14076_74,P01036
SeqId_14079_14,Q13478
SeqId_14082_56,Q9Y4G6
SeqId_14083_25,P49903
SeqId_14084_191,Q99LC4
SeqId_14088_38,P24592
SeqId_14090_23,Q9H4E7
SeqId_14091_42,O75828
SeqId_14093_10,P49771
SeqId_14094_29,Q99075
SeqId_14095_1,P26718
SeqId_14098_28,P49589
SeqId_14099_20,P25789
SeqId_14100_63,P02747
SeqId_14101_2,P26992
SeqId_14106_46,P52306
SeqId_14107_1,P49914
SeqId_14111_15,P35442
SeqId_14112_40,Q969Z4
SeqId_14114_18,Q8IYJ0
SeqId_14115_34,P35318
SeqId_14116_129,P26447
SeqId_14120_2,Q68DV7
SeqId_14121_24,Q9UBN6
SeqId_14122_132,Q9ULT6
SeqId_14123_34,Q9H7M9
SeqId_14124_6,O43921
SeqId_14127_240,P01574
SeqId_14128_121,P01566
SeqId_14129_1,P01567
SeqId_14131_37,P52799
SeqId_14132_21,Q9UM44
SeqId_14133_93,P27930
SeqId_14134_49,Q86SJ2
SeqId_14135_3,Q9HBX9
SeqId_14136_234,Q9NPY3
SeqId_14139_16,Q8WWG1
SeqId_14143_8,Q16778
SeqId_14144_3,Q7L7L0
SeqId_14146_92,P68431
SeqId_14149_9,Q9NZH7
SeqId_14150_7,Q9UHA7
SeqId_14151_4,P05161
SeqId_14153_8,P52797
SeqId_14156_33,P31946
SeqId_14157_21,P62258
SeqId_14158_17,P08758
SeqId_14175_78,Q9UJQ7
SeqId_14178_18,Q16667
SeqId_14186_13,Q8WZ73
SeqId_14192_31,Q8N4E4
SeqId_14197_2,O75626
SeqId_14203_3,P20073
SeqId_14204_55,Q9P0K8
SeqId_14205_6,Q96MH2
SeqId_14206_28,O00213
SeqId_14208_3,Q96R05
SeqId_14216_35,Q7L014
SeqId_14226_120,Q9H2M3
SeqId_14227_21,P14649
SeqId_14228_1,Q99LC4
SeqId_14229_5,O95396
SeqId_14237_1,P0DMV8
SeqId_14245_195,Q9UNH6
SeqId_14246_50,O60496
SeqId_14249_68,Q9UJV3
SeqId_14250_115,Q13867
SeqId_14254_27,P29074
SeqId_14256_4,Q99LC4
SeqId_14260_112,Q7Z628
SeqId_14268_4,Q9BYN0
SeqId_14271_23,Q9NRW1
SeqId_14273_19,P48147
SeqId_14283_12,P61106
SeqId_14284_23,Q9P2K8
SeqId_14286_2,O95644
SeqId_14287_6,P51148
SeqId_14291_53,Q99490
SeqId_14294_61,Q9UIS9
SeqId_14308_192,Q99LC4
SeqId_14309_8,P31943
SeqId_14314_6,Q13356
SeqId_14318_1,Q9UBQ0
SeqId_14324_52,Q9UQE7
SeqId_14326_4,P51965
SeqId_14329_4,Q9BTC0
SeqId_14331_262,P63172
SeqId_14332_3,P11233
SeqId_14334_3,P35243
SeqId_14337_1,O43617
SeqId_14341_8,Q0P6D2
SeqId_14583_49,O14793
SeqId_14587_16,O95390
SeqId_14593_152,Q96ND0
SeqId_14597_5,Q9H3T2
SeqId_14599_18,Q9NY15
SeqId_14603_51,Q15053
SeqId_14605_2,Q99LC4
SeqId_14614_41,Q5T1S8
SeqId_14615_46,Q9BYR9
SeqId_14616_16,Q96SR6
SeqId_14617_7,Q99LC4
SeqId_14618_26,Q96AW1
SeqId_14619_8,Q8TF50
SeqId_14623_26,P55854
SeqId_14624_51,P49711
SeqId_14628_72,Q9UK99
SeqId_14631_22,Q9BY84
SeqId_14633_26,Q8NFB2
SeqId_14634_13,P22888
SeqId_14635_28,Q99LC4
SeqId_14636_25,P52758
SeqId_14645_253,O15217
SeqId_14655_1,Q9NVM6
SeqId_14662_6,P28698
SeqId_14663_44,O76064
SeqId_14670_1,P12757
SeqId_14674_63,Q9UKS6
SeqId_14675_20,P23588
SeqId_14684_17,P17655
SeqId_14685_17,P31751
SeqId_14687_6,O60664
SeqId_14688_6,P35236
SeqId_14689_3,P55735
SeqId_14692_3,Q8N554
SeqId_14705_1,O43915
SeqId_14708_59,P07360
SeqId_14711_27,Q15828
SeqId_14713_46,P20160
SeqId_14747_9,O75462
SeqId_14748_31,Q13017
SeqId_15295_81,P01344
SeqId_15297_3,P33764
SeqId_15298_199,Q8TDF5
SeqId_15299_102,Q14696
SeqId_15300_66,Q9H6E4
SeqId_15301_24,P26436
SeqId_15303_63,P33763
SeqId_15304_1,Q06141
SeqId_15305_7,O76038
SeqId_15306_20,P01591
SeqId_15308_108,Q2TAL6
SeqId_15310_61,O43663
SeqId_15312_14,Q9UL18
SeqId_15313_28,Q13257
SeqId_15314_49,Q9Y696
SeqId_15315_64,Q9NTM9
SeqId_15316_262,Q9NX01
SeqId_15318_75,P60903
SeqId_15319_226,P78396
SeqId_15321_8,Q6PUV4
SeqId_15322_35,P78560
SeqId_15323_112,Q9H9G7
SeqId_15324_58,P02792
SeqId_15325_14,P17677
SeqId_15326_64,P32455
SeqId_15329_167,Q9Y2Q5
SeqId_15331_47,Q09028
SeqId_15333_11,Q99470
SeqId_15336_7,Q8WWX9
SeqId_15339_32,Q9Y281
SeqId_15343_337,P01042
SeqId_15346_31,P01579
SeqId_15347_12,P02790
SeqId_15358_28,P05408
SeqId_15361_37,Q15327
SeqId_15363_32,Q6Q788
SeqId_15364_101,P02654
SeqId_15365_41,O60242
SeqId_15367_38,Q8TDL5
SeqId_15368_3,Q8N8U9
SeqId_15370_5,Q9Y3E2
SeqId_15372_43,P25440
SeqId_15374_15,Q9NS71
SeqId_15375_49,P15086
SeqId_15376_134,P14091
SeqId_15381_45,Q16832
SeqId_15383_200,P14138
SeqId_15384_15,Q9UEF7
SeqId_15385_116,P12104
SeqId_15386_7,P15090
SeqId_15387_44,O60462
SeqId_15388_24,P08637
SeqId_15389_1,Q16595
SeqId_15390_3,P22466
SeqId_15391_114,Q14393
SeqId_15394_79,Q8IZJ1
SeqId_15395_15,P09488
SeqId_15398_2,P55789
SeqId_15402_2,P41134
SeqId_15403_53,Q02363
SeqId_15404_3,P01568
SeqId_15405_23,P05014
SeqId_15412_40,Q96CA5
SeqId_15413_3,P04180
SeqId_15414_316,P00338
SeqId_15416_54,Q86SG7
SeqId_15417_3,P36952
SeqId_15418_25,P53779
SeqId_15419_15,O60882
SeqId_15422_12,P02689
SeqId_15426_5,Q99519
SeqId_15427_35,P58215
SeqId_15430_165,Q9UBM4
SeqId_15431_31,P00480
SeqId_15432_1,Q9NRC9
SeqId_15433_4,P12931
SeqId_15434_5,Q13519
SeqId_15435_4,P00491
SeqId_15436_40,O60894
SeqId_15437_11,O60896
SeqId_15439_21,P61587
SeqId_15440_57,P16519
SeqId_15441_6,P17900
SeqId_15444_45,P48594
SeqId_15446_25,Q02297
SeqId_15447_45,Q00796
SeqId_15448_47,Q13501
SeqId_15449_33,Q96H15
SeqId_15452_5,P21589
SeqId_15453_3,P02760
SeqId_15455_40,Q13444
SeqId_15457_14,P15144
SeqId_15460_9,P27487
SeqId_15462_28,P01732
SeqId_15465_79,Q8N129
SeqId_15466_30,P20849
SeqId_15467_10,Q96CG8
SeqId_15468_14,Q03591
SeqId_15470_11,P07686
SeqId_15471_29,P54317
SeqId_15472_16,Q86VZ4
SeqId_15474_7,Q13526
SeqId_15475_4,P55058
SeqId_15476_6,Q6UW15
SeqId_15480_2,O95498
SeqId_15481_45,P49913
SeqId_15482_12,A8K2U0
SeqId_15483_377,O00468
SeqId_15486_126,P19801
SeqId_15487_164,P23141
SeqId_15491_20,Q9HCU0
SeqId_15492_1,Q9NZV1
SeqId_15494_11,Q14512
SeqId_15495_9,P41439
SeqId_15497_9,O14792
SeqId_15499_11,O75882
SeqId_15503_15,O00292
SeqId_15503_20,O00292
SeqId_15504_39,Q96CA5
SeqId_15506_34,Q9Y561
SeqId_15509_2,P54802
SeqId_15511_37,O95502
SeqId_15513_108,Q16651
SeqId_15514_26,P06276
SeqId_15515_2,P0DJI8
SeqId_15516_12,P35542
SeqId_15521_4,O94985
SeqId_15522_2,Q9H4G4
SeqId_15523_9,P13716
SeqId_15524_30,P15259
SeqId_15525_294,P00326
SeqId_15526_33,P48637
SeqId_15527_90,P09622
SeqId_15529_33,P21291
SeqId_15530_33,P54760
SeqId_15533_97,P21757
SeqId_15534_26,P40926
SeqId_15535_3,Q9BQR3
SeqId_15539_15,Q96PX8
SeqId_15540_6,P08670
SeqId_15542_19,P12532
SeqId_15544_25,Q9P0G3
SeqId_15545_13,P63098
SeqId_15548_35,O43175
SeqId_15553_22,P22303
SeqId_15556_49,P19961
SeqId_15558_63,Q07075
SeqId_15559_5,P58335
SeqId_15560_52,P20062
SeqId_15562_24,P08236
SeqId_15565_102,Q8WXI7
SeqId_15566_10,P51911
SeqId_15567_2,P20963
SeqId_15569_15,P02458
SeqId_15570_99,P20023
SeqId_15573_110,O14594
SeqId_15574_37,P20248
SeqId_15576_158,P12724
SeqId_15579_26,Q6UWR7
SeqId_15580_2,Q15375
SeqId_15581_16,Q8TC84
SeqId_15582_25,O00602
SeqId_15583_18,Q6BAA4
SeqId_15584_9,P36980
SeqId_15585_304,Q9UBX5
SeqId_15587_20,P14207
SeqId_15588_17,P06280
SeqId_15589_1,P02774
SeqId_15591_28,P07203
SeqId_15594_47,Q92743
SeqId_15596_7,O94992
SeqId_15602_43,P08887
SeqId_15603_20,P17301
SeqId_15604_18,P45984
SeqId_15606_19,P08727
SeqId_15607_56,P30613
SeqId_15608_5,P23443
SeqId_15610_72,P28838
SeqId_15612_5,Q9HAP6
SeqId_15613_16,P16233
SeqId_15614_168,Q8N149
SeqId_15615_8,O75022
SeqId_15617_8,Q9UBD3
SeqId_15619_49,Q16653
SeqId_15620_4,Q8N2Q7
SeqId_15622_13,Q14982
SeqId_15623_1,Q15116
SeqId_15626_223,P98160
SeqId_15627_83,P31749
SeqId_15631_18,P11464
SeqId_15633_6,P02753
SeqId_15634_139,O75093
SeqId_15635_4,Q9H3U7
SeqId_15636_49,Q8WY21
SeqId_15637_38,Q9UPU3
SeqId_15640_54,Q01995
SeqId_15641_20,Q8IYR6
SeqId_15644_1,P43251
SeqId_15653_9,Q03692
SeqId_15666_21,P12643
SeqId_15667_39,P12644
SeqId_15668_19,P34820
SeqId_15669_7,P15056
SeqId_15670_15,Q7Z5L3
SeqId_15674_3,P11912
SeqId_15675_3,P17676
SeqId_15678_71,Q9UBU2
SeqId_15686_49,P55103
SeqId_15688_30,P49257
SeqId_15692_300,Q96S42
SeqId_15693_9,P06401
SeqId_15698_6,P40222
SeqId_16015_19,P24298
SeqId_16021_30,P55286
SeqId_16035_8,P35916
SeqId_16043_30,P29353
SeqId_16049_43,P78380
SeqId_16055_3,Q9BXR6
SeqId_16057_6,P11717
SeqId_16060_99,Q14112
SeqId_16070_7,Q9Y5W5
SeqId_16074_12,O75791
SeqId_16079_2,P42680
SeqId_16081_38,O60218
SeqId_16288_17,P54764
SeqId_16292_288,P09681
SeqId_16293_1,P01286
