seqid,uniprot
SeqId_10700_10,Q5DX21
SeqId_10701_30,Q99LC4
SeqId_10702_1,Q2UY09
SeqId_10703_203,Q9H7L9
SeqId_10704_91,Q12912
SeqId_10705_14,Q8NDV1
SeqId_10708_3,O43555
SeqId_10710_23,Q6X784
SeqId_10713_151,A8K4G0
SeqId_10714_7,P12821
SeqId_10715_5,Q99LC4
SeqId_10716_35,Q16401
SeqId_10721_76,P0DMV8
SeqId_10722_13,P43405
SeqId_10723_41,Q99LC4
SeqId_10731_10,Q8IZT8
SeqId_10734_339,Q9H3Q3
SeqId_10737_96,P30740
SeqId_10748_216,Q9Y5E7
SeqId_10749_18,P0DMV8
SeqId_10752_8,Q8N8U2
SeqId_10753_31,Q9H2U9
SeqId_10754_113,Q9HC23
SeqId_10756_34,Q969E3
SeqId_10758_2,O60938
SeqId_10760_107,P48058
SeqId_10761_5,Q15363
SeqId_10762_2,A4D1S0
SeqId_10767_52,Q8IZP9
SeqId_10772_21,Q8N6G5
SeqId_10781_19,Q6UXB4
SeqId_10785_8,Q8N7C0
SeqId_10791_21,Q99LC4
SeqId_10798_4,Q496F6
SeqId_10800_15,P50454
SeqId_10803_22,P0DMV8
SeqId_10809_14,Q12918
SeqId_10814_7,P06126
SeqId_10815_2,Q5JVS0
SeqId_10816_150,Q9UKJ1
SeqId_10817_26,Q6UXN7
SeqId_10818_36,P17405
SeqId_10823_19,Q99LC4
SeqId_10825_12,Q8N0Z9
SeqId_10827_67,P0C6S8
SeqId_10830_5,O75071
SeqId_10832_24,Q9UBX8
SeqId_10833_64,Q96QV1
SeqId_10835_25,Q9UNA3
SeqId_10842_7,Q9P109
SeqId_10847_1,Q6ZMC9
SeqId_10848_137,Q6UXE8
SeqId_10851_77,Q14213
SeqId_10852_114,O14979
SeqId_10866_60,Q6IN85
SeqId_10876_300,Q6PJG6
SeqId_10880_38,P0C2L3
SeqId_10882_12,Q08554
SeqId_10885_36,Q6UWU4
SeqId_10888_4,Q99LC4
SeqId_10889_2,Q96G30
SeqId_10890_135,Q6UWM7
SeqId_10892_8,Q99650
SeqId_10895_28,Q86T26
SeqId_10900_272,Q93045
SeqId_10902_53,Q53RT3
SeqId_10903_50,Q9UNK0
SeqId_10907_116,Q9P121
SeqId_10908_2,Q8IUC8
SeqId_10910_6,O75871
SeqId_10914_4,Q99LC4
SeqId_10916_44,Q13018
SeqId_10917_40,O14610
SeqId_10924_258,Q8WUJ1
SeqId_10927_65,Q99LC4
SeqId_10933_107,Q9BXU9
SeqId_10938_13,P19256
SeqId_10939_16,Q9H4M7
SeqId_10940_25,Q86TD4
SeqId_10943_36,Q99LC4
SeqId_10945_11,O43752
SeqId_10948_14,Q8IV08
SeqId_10949_59,P05387
SeqId_10953_14,Q6UVW9
SeqId_10955_4,Q8IUN9
SeqId_10956_82,P23434
SeqId_10959_125,Q9NYM9
SeqId_10961_15,Q9UL19
SeqId_10962_46,Q99LC4
SeqId_10974_20,P58062
SeqId_10975_59,Q96DR8
SeqId_10977_55,Q8WVF2
SeqId_10978_39,P01242
SeqId_10981_56,P56975
SeqId_10990_21,Q5S007
SeqId_11067_13,P02818
SeqId_11071_1,P05113
SeqId_11089_7,P01877
SeqId_11094_104,Q05315
SeqId_11096_57,Q9Y5N5
SeqId_11098_1,O00764
SeqId_11101_18,O00206
SeqId_11102_22,Q9BYZ8
SeqId_11103_24,P04792
SeqId_11104_13,P36222
SeqId_11105_171,P06733
SeqId_11107_25,Q9P273
SeqId_11109_56,Q4LDE5
SeqId_11110_4,Q4V9L6
SeqId_11112_18,Q8TBQ9
SeqId_11116_16,Q6NUJ2
SeqId_11117_2,Q8TB22
SeqId_11118_107,Q9H0T7
SeqId_11120_49,Q8WUY8
SeqId_11122_97,Q9NZD8
SeqId_11126_102,O75962
SeqId_11128_29,Q8N3T6
SeqId_11129_66,O95972
SeqId_11130_158,O00305
SeqId_11134_30,Q9UGC7
SeqId_11135_5,Q7Z7F7
SeqId_11137_43,P32927
SeqId_11138_16,Q13761
SeqId_11139_4,Q99LC4
SeqId_11140_56,P02452
SeqId_11142_11,O95841
SeqId_11143_32,Q96PB7
SeqId_11144_10,Q30KQ4
SeqId_11145_72,Q6ZVL6
SeqId_11146_4,Q9Y458
SeqId_11147_17,Q86YW5
SeqId_11149_3,Q15399
SeqId_11152_46,Q9UKR3
SeqId_11154_3,Q14494
SeqId_11155_16,A8TX70
SeqId_11157_35,P0DMV8
SeqId_11158_40,Q6ZP65
SeqId_11160_56,Q9H9V4
SeqId_11161_5,Q8N0X7
SeqId_11162_37,Q9NQ60
SeqId_11163_7,Q5T6X4
SeqId_11164_7,Q9NT68
SeqId_11167_6,Q13613
SeqId_11168_3,Q96KG7
SeqId_11171_25,P21333
SeqId_11173_29,Q7Z6M3
SeqId_11174_8,Q9UPZ6
SeqId_11175_45,Q7L5N7
SeqId_11177_16,P13647
SeqId_11178_21,Q4LDE5
SeqId_11179_7,Q9BXA7
SeqId_11180_17,Q92922
SeqId_11185_145,P30793
SeqId_11186_12,Q8NDY8
SeqId_11187_11,Q5QGZ9
SeqId_11190_129,Q96TA2
SeqId_11192_168,Q9GZM7
SeqId_11193_27,P20823
SeqId_11194_6,Q9Y3P8
SeqId_11196_31,P12111
SeqId_11198_37,Q96BA8
SeqId_11201_19,Q9Y606
SeqId_11202_70,Q99593
SeqId_11204_80,P78310
SeqId_11205_10,P26010
SeqId_11207_3,P21757
SeqId_11208_15,Q9UK23
SeqId_11211_7,Q15813
SeqId_11212_7,Q8NBS9
SeqId_11214_40,Q9UBS3
SeqId_11215_6,P55291
SeqId_11217_16,Q13363
SeqId_11218_84,P51580
SeqId_11219_95,Q8TAT2
SeqId_11220_53,Q8TEF2
SeqId_11222_62,Q99LC4
SeqId_11223_1,Q6P9G4
SeqId_11226_16,Q05086
SeqId_11227_31,Q9Y4P3
SeqId_11228_37,Q7Z5B4
SeqId_11229_16,O75460
SeqId_11230_12,Q99LC4
SeqId_11231_12,Q6P4F2
SeqId_11237_49,Q15113
SeqId_11239_49,Q8IU80
SeqId_11241_8,P04424
SeqId_11242_33,P22735
SeqId_11243_90,Q5T601
SeqId_11247_20,Q8N159
SeqId_11248_43,P10746
SeqId_11252_30,O75427
SeqId_11254_13,O95428
SeqId_11257_1,P09417
SeqId_11258_41,Q13477
SeqId_11260_47,Q8TC36
SeqId_11262_39,Q9H4I3
SeqId_11263_57,P31415
SeqId_11264_33,P47989
SeqId_11265_8,P00352
SeqId_11266_8,Q14242
SeqId_11270_17,Q8WYQ3
SeqId_11273_176,P0CG30
SeqId_11275_94,Q9NZR2
SeqId_11277_23,P18850
SeqId_11278_4,P13942
SeqId_11279_42,Q9UBS5
SeqId_11280_6,Q99259
SeqId_11281_6,Q14451
SeqId_11283_13,Q96JK2
SeqId_11284_24,Q6GTX8
SeqId_11286_78,Q9BQE4
SeqId_11287_14,P00167
SeqId_11288_26,P49902
SeqId_11289_31,P48730
SeqId_11291_73,Q99LC4
SeqId_11292_13,Q6AZY7
SeqId_11293_14,Q6UXK5
SeqId_11297_54,Q04721
SeqId_11300_32,Q99523
SeqId_11302_237,Q92752
SeqId_11303_7,Q9Y3Z3
SeqId_11307_33,Q9H0M0
SeqId_11308_8,Q8TEY5
SeqId_11311_79,P15918
SeqId_11312_40,P54278
SeqId_11313_100,P61457
SeqId_11315_148,O15297
SeqId_11319_106,P49959
SeqId_11320_29,Q96EP1
SeqId_11324_3,A1KZ92
SeqId_11325_8,P78543
SeqId_11327_56,P49760
SeqId_11328_9,Q9BQ65
SeqId_11330_15,P67870
SeqId_11333_82,P42331
SeqId_11334_7,O75022
SeqId_11336_9,Q9NPI8
SeqId_11338_49,P51451
SeqId_11342_59,Q6UX71
SeqId_11347_9,P37837
SeqId_11348_132,O15460
SeqId_11350_30,Q9UNE7
SeqId_11351_233,Q9H9Q4
SeqId_11352_42,Q8WZ42
SeqId_11354_21,Q9NQ66
SeqId_11355_10,Q9GZV4
SeqId_11356_19,Q96DF8
SeqId_11358_15,Q13322
SeqId_11360_39,P23921
SeqId_11361_73,P19971
SeqId_11363_58,P55087
SeqId_11364_18,Q8IWA4
SeqId_11365_17,Q6N022
SeqId_11368_32,P54819
SeqId_11369_23,P11766
SeqId_11370_20,Q9NRR6
SeqId_11371_1,Q96P66
SeqId_11372_2,P17022
SeqId_11375_49,P58012
SeqId_11377_19,P40394
SeqId_11378_37,P43405
SeqId_11380_84,Q9BX46
SeqId_11381_56,P60891
SeqId_11382_5,P53004
SeqId_11383_41,P08729
SeqId_11387_3,Q99941
SeqId_11388_75,Q14508
SeqId_11390_24,P35219
SeqId_11391_69,Q03426
